sub,trial,coh,dir,resp,rt,trialType,prob
0,502,0.05,1,1,0.547451451420784,0,0.75
0,503,1,1,0,0,1,0.75
0,504,0.1,2,2,0.41472886124393,0,0.75
0,505,1,1,0,0,1,0.75
0,506,1,1,0,0,1,0.75
0,507,0.1,1,1,2.06844089512015,0,0.75
0,508,1,2,0,0,1,0.75
0,509,0.15,1,2,0.464113787282258,0,0.75
0,510,1,1,0,0,1,0.75
0,511,1,1,0,0,1,0.75
0,512,0.15,1,1,0.341547793417703,0,0.75
0,513,1,1,0,0,1,0.75
0,514,1,1,0,0,1,0.75
0,515,1,1,0,0,1,0.75
0,516,0.15,2,2,1.30012646020623,0,0.75
0,517,1,1,0,0,1,0.75
0,518,1,2,0,0,1,0.75
0,519,1,1,0,0,1,0.75
0,520,1,1,0,0,1,0.75
0,521,0.15,2,2,0.386026371212211,0,0.75
0,522,1,1,0,0,1,0.75
0,523,1,1,0,0,1,0.75
0,524,0.15,1,1,0.330540429742541,0,0.75
0,525,1,2,0,0,1,0.75
0,526,0.1,2,1,0.410854533547536,0,0.75
0,527,1,2,0,0,1,0.75
0,528,1,1,0,0,1,0.75
0,529,1,1,0,0,1,0.75
0,530,0.05,2,1,1.04478237743024,0,0.75
0,531,1,1,0,0,1,0.75
0,532,1,2,0,0,1,0.75
0,533,1,2,0,0,1,0.75
0,534,1,1,0,0,1,0.75
0,535,0,1,1,2.60048453958007,0,0.75
0,536,1,1,0,0,1,0.75
0,537,1,1,0,0,1,0.75
0,538,0.1,2,2,1.04858709103428,0,0.75
0,539,1,2,0,0,1,0.75
0,540,1,1,0,0,1,0.75
0,541,1,1,0,0,1,0.75
0,542,1,1,0,0,1,0.75
0,543,0.05,2,2,0.426246621122118,0,0.75
0,544,1,1,0,0,1,0.75
0,545,1,1,0,0,1,0.75
0,546,0.15,2,2,5.91221890511224,0,0.75
0,547,1,1,0,0,1,0.75
0,548,1,1,0,0,1,0.75
0,549,0.1,1,1,0.551397317962255,0,0.75
0,550,1,1,0,0,1,0.75
0,551,1,1,0,0,1,0.75
0,552,1,2,0,0,1,0.75
0,553,0.05,2,2,0.354068060114514,0,0.75
0,554,1,1,0,0,1,0.75
0,555,1,2,0,0,1,0.75
0,556,1,1,0,0,1,0.75
0,557,1,2,0,0,1,0.75
0,558,1,1,0,0,1,0.75
0,559,1,1,0,0,1,0.75
0,560,0.1,2,2,0.413605412060861,0,0.75
0,561,1,1,0,0,1,0.75
0,562,1,1,0,0,1,0.75
0,563,0,1,1,0.868978944490664,0,0.75
0,564,1,1,0,0,1,0.75
0,565,1,1,0,0,1,0.75
0,566,1,1,0,0,1,0.75
0,567,0.1,2,1,0.677299975068308,0,0.75
0,568,1,1,0,0,1,0.75
0,569,1,2,0,0,1,0.75
0,570,0.05,2,2,0.401213787088636,0,0.75
0,571,1,2,0,0,1,0.75
0,572,0.15,2,2,1.50642181764124,0,0.75
0,573,1,1,0,0,1,0.75
0,574,0.05,2,1,0.451267585565802,0,0.75
0,575,1,1,0,0,1,0.75
0,576,1,1,0,0,1,0.75
0,577,0,1,1,1.04271929874085,0,0.75
0,578,1,2,0,0,1,0.75
0,579,0.1,2,2,1.44838421576424,0,0.75
0,580,1,1,0,0,1,0.75
0,581,0,1,1,0.653362038719933,0,0.75
0,582,1,1,0,0,1,0.75
0,583,1,1,0,0,1,0.75
0,584,0.05,1,1,1.35470741876634,0,0.75
0,585,1,1,0,0,1,0.75
0,586,1,1,0,0,1,0.75
0,587,1,2,0,0,1,0.75
0,588,1,1,0,0,1,0.75
0,589,0.1,1,2,0.480838486982975,0,0.75
0,590,1,1,0,0,1,0.75
